author,desc,genre,img,isbn,link,pages,rating,reviews,title,totalratings
Liza Donnelly,A horde of gigantic prehistoric dinosaurs appears in a modern city to rescue a boy and his dog on Halloween. Full color.,"Holiday,Halloween,Childrens,Picture Books,Fiction,Childrens,Animals,Dinosaurs,Holiday,Animals,Fantasy",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1225470116l/1156086.jpg,590410067,https://goodreads.com/book/show/1156086.Dinosaurs_Halloween,32,3.49,15,Dinosaurs' Halloween,98
"W. Michael Gear,Kathleen O'Neal Gear","It has been a thousand years since Wolf Dreamer lead his people up through the dark hole in the ice to a rich, untouched continent bursting with game. But the world has changed. Most of the magnificent animals are gone, and the last of the great glaciers is melting, forming a huge freshwater lake in the middle of the world. Over the centuries the People of the Wolf have split into two clans. The People of the Nightland live in the honeycomb of ice caves that skirt the glacier. The People of the Sunpath live in hide lodges to the south, hunting the few remaining mammoths, bison, giant sloths, and short-faced bear.,When a young orphaned boy named Silvertip receives a vision from Wolf Dreamer that their world is about to end, no one believes him--no one except a jaded war chief and a little girl. Led by Silvertip's dream, the three of them must convince both people to leave the land of their ancestors and flee eastward as fast as they can before the Ice Giants destroy the world.,This is the sweeping saga of a visionary boy who led his people out of the path of one of the worst catastrophes in the history of the world, and the brave little girl who loved him enough to believe in his dream.","Historical,Historical Fiction,Fiction,Historical,Native Americans,Historical Fiction,Prehistoric,History,Prehistory,Anthropology,Adult",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441816454l/115608._SY475_.jpg,765314401,https://goodreads.com/book/show/115608.People_of_the_Nightland,477,4.26,50,People of the Nightland,987
Chrissie Keighery,"I'm always trying to figure out what's really going on. Always having to fill in the gaps, but never getting all the details. It's like trying to do a jigsaw when I don't even know what the picture is, and I'm missing one of the vital middle pieces.,How do you know if your friends are talking about you behind your back or if a boy likes you? They could act innocent, but you'd know from the rumours. You'd hear the whispers. But what if you couldn't hear those whispers anymore? What if everything you took for granted was gone? Being a teenager is hard enough.,But being a deaf teenager?","Young Adult,Contemporary,Disability,Romance,Realistic Fiction,Young Adult,Young Adult Contemporary,Cultural,Australia,Health,Mental Health,Fiction,Young Adult,Teen",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1307424549l/11560914.jpg,1921759321,https://goodreads.com/book/show/11560914-whisper,256,4.06,169,Whisper,1360
Jennifer Roberson,"Niall, Prince of Homana, key player in a prophecy that spans generations, should have been the treasured link between Cheysuli and Homanan. Yet neither of the peoples he is destined to someday rule feel anything but suspicion of Niall. Homanans fear him for his Cheysuli heritage, while Cheysuli refuse to accept him as their own because he has acquired neither a lir-shape nor the lir companion which is the true mark of the Cheysuli shapechangers., And now, despite his precarious situation within the kingdom, Niall must undertake a journey to fulfill yet another link in the ancient prophecy. He must travel through war-torn lands to claim his bride—a mission which may prove his doom. For searching for both his destiny and his lir, Naill is about to be plunged into a dangerous maelstrom of intrigue, betrayal, and deadly Ihlini sorcery...","Fantasy,Fiction,Science Fiction Fantasy,Paranormal,Shapeshifters,Fantasy,High Fantasy,Fantasy,Epic Fantasy,Science Fiction,Fantasy,Heroic Fantasy,Adult,Adventure",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1354539570l/1156092.jpg,886771935,https://goodreads.com/book/show/1156092.Track_of_the_White_Wolf,375,4.02,25,Track of the White Wolf,1658
"Jay Fields,Shane Harvie,Martin Fowler,Kent Beck","
  ,The Definitive Refactoring Guide, Fully Revamped for Ruby,
,With refactoring, programmers can transform even the most chaotic software into well-designed systems that are far easier to evolve and maintain. What’s more, they can do it one step at a time, through a series of simple, proven steps. Now, there’s an authoritative and extensively updated version of Martin Fowler’s classic refactoring book that utilizes Ruby examples and idioms throughout–not code adapted from Java or any other environment.,The authors introduce a detailed catalog of more than 70 proven Ruby refactorings, with specific guidance on when to apply each of them, step-by-step instructions for using them, and example code illustrating how they work. Many of the authors’ refactorings use powerful Ruby-specific features, and all code samples are available for download. ,Leveraging Fowler’s original concepts, the authors show how to perform refactoring in a controlled, efficient, incremental manner, so you methodically improve your code’s structure without introducing new bugs. Whatever your role in writing or maintaining Ruby code, this book will be an indispensable resource.,This book will help you, ,   Understand the core principles of refactoring and the reasons for doing it   Recognize “bad smells” in your Ruby code   Rework bad designs into well-designed code, one step at a time   Build tests to make sure your refactorings work properly   Understand the challenges of refactoring and how they can be overcome   Compose methods to package code properly   Move features between objects to place responsibilities where they fit best    Organize data to make it easier to work with   Simplify conditional expressions and make more effective use of polymorphism   Create interfaces that are easier to understand and use    Generalize more effectively   Perform larger refactorings that transform entire software systems and may take months or years   Successfully refactor Ruby on Rails code  ","Computer Science,Programming,Science,Technology,Computer Science,Software,Reference,Computer Science,Technical,Computer Science,Coding,Science,Computer Science,Nonfiction,Computer Science,Computers",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1338728255l/11560939.jpg,321604172,https://goodreads.com/book/show/11560939-refactoring,480,4.07,20,"Refactoring: Ruby Edition, Adobe Reader",240
Robert R. McCammon,"A woman is ravished...,and to her a child is born...,unleashing an unimaginable evil upon the world!,And they call him BAAL in the orphanage, where he leads the children on a rampage of violence...in California, where he appears as the head of a deadly Manson-like cult...in Kuwait, where crazed millions heed his call to murder and orgy.,They call him BAAL in the Arctic's hellish wasteland, where he is tracked by the only three men with a will to stop him: Zark, the shaman; Virga, the aging professor of theology; and Michael, the powerful, mysterious stranger.","Horror,Fiction,Fantasy,Science Fiction,Apocalyptic,Thriller,Novels,Fantasy,Supernatural,Audiobook,Suspense",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1280365481l/11560.jpg,671664840,https://goodreads.com/book/show/11560.Baal,335,3.58,146,Baal,4332
Liza Donnelly,"Here is the fourth title in Liza Donnelly's popular series about a dinosaur-loving boy, his dog, and their humorous, outrageous encounters with dinosaurs. When Rex plants a garden to attract plant-eating dinosaurs, some unexpected guests come to dinner. Illustrated in full color.","Animals,Dinosaurs,Childrens,Picture Books,Childrens,Animals",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1181459573l/1156103._SX318_.jpg,590431722,https://goodreads.com/book/show/1156103.Dinosaur_Garden,0,3.62,4,Dinosaur Garden,34
Liza Donnelly,"It's Valentine's Day.,Rex and his trusty dog, Bones, are in the park when they receive an invitation to a party they will never forget. It's a Valentine's Day party - and it's being given by dinosaurs!","Childrens,Picture Books,Childrens,Animals,Dinosaurs,Holiday",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1181459574l/1156104._SX318_.jpg,590464159,https://goodreads.com/book/show/1156104.Dinosaur_Valentine,1,3.2,2,Dinosaur Valentine,49
Liza Donnelly,"Crazy about dinosaurs, a boy and his dog imagine they see one under every lump of snow until the day they get a big surprise. Includes an illustrated glossary listing various dinosaurs and their characteristics.","Animals,Dinosaurs,Childrens,Childrens,Picture Books,Humor",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1541920848l/1156107._SX318_.jpg,590418009,https://goodreads.com/book/show/1156107.Dinosaur_Day,32,3.47,5,Dinosaur Day,38
William Hazlitt,This book was converted from its physical edition to the digital format by a community of volunteers. You may find it for free on the web. Purchase of the Kindle edition includes wireless delivery.,"Nonfiction,Classics,Writing,Essays,Criticism,Criticism,Literary Criticism,Language,Writing,Literature,English Literature,European Literature,British Literature",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432788848l/11561085._SY475_.jpg,,https://goodreads.com/book/show/11561085-characters-of-shakespeare-s-plays,240,3.8,9,Characters of Shakespeare's Plays,85
Liza Donnelly,,"Childrens,Picture Books,Animals,Dinosaurs,Childrens,Holiday",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1181459575l/1156108._SX318_.jpg,590221957,https://goodreads.com/book/show/1156108.Dinosaurs_Thanksgiving,32,3.36,2,Dinosaurs' Thanksgiving,25
"Kathleen O'Neal Gear,W. Michael Gear","New York Times ,and ,USA Today ,bestselling authors W. Michael Gear and Kathleen O'Neal Gear are famous for writing novels about prehistoric America that are fast-paced, steeped in cultural detail, and smart. In ,People of the Owl, they combine their distinctive trademark of high action with a rich psychological drama.,Four thousand years ago, in what centuries later will be the southern part of the United States, a boy is thrust into manhood long before he's ready. Young Salamander would much rather catch crickets and watch blue herons fish than dabble in the politics of his clan. But when his heroic brother is killed, Salamander becomes the leader of America's first city. He inherits his brother's two wives, who despise him, and is forced to marry his mortal enemy's daughter to forge an alliance for the trade goods his people desperately need.,Cast adrift in a stark wilderness of political intrigue where assassins are everywhere, young Salamander has no choice but to become a man-and quickly.","Historical,Historical Fiction,Fiction,Historical,Fantasy,Native Americans,Historical Fiction,Prehistoric,History,Prehistory,Canon,Adult,Romance,Historical Romance",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403430178l/115610.jpg,812589831,https://goodreads.com/book/show/115610.People_of_the_Owl,609,4.29,58,People of the Owl,1538
"Voltaire,Theo Cuff","A classic Enlightenment tale accompanied by 18 other pieces, including ""Plato's Dream"" and ""Memnon"" — all in a new translation.,Micromegas is a 650-year-old, 39-kilometer-high giant from the planet Sirius who can speak 1,000 languages and has been expelled from his homeland for writing a heretical tract. On Saturn he befriends the local secretary of the Academy of Sciences—a comparative dwarf, being only two kilometers high—and the two decide to travel to earth together, where they will make startling discoveries about human nature.","Classics,Philosophy,Fiction,Science Fiction,Cultural,France,Short Stories,European Literature,French Literature,Literature,18th Century,Literature,Academic,School",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1181459579l/1156110.jpg,140389024,https://goodreads.com/book/show/1156110.Micromegas,38,3.7,299,Micromegas,3837
"R.A. Salvatore,Paul S. Kemp,Philip Athans,Lisa Smedman,Richard  Baker,Thomas M. Reid,Richard Lee Byers","Anthology containing:,Dissolution: Book I by Richard Lee Byers,Insurrection: Book II by Thomas M. Reid,Condemnation: Book III by Richard Baker,Extinction: Book IV by Lisa Smedman,Annihilation: War of the Spider Queen, Book V by Philip Athans,Resurrection: Book VI by Paul S. Kemp,Dissolution (Book 1),While their whole world is changing around them, four dark elves struggle against different enemies. Yet their paths will lead them all to the most terrifying discovery in the long history of the drow, and set them on a quest to save not only Menzoberranzan but the entire dark elf race from Dissolution.,The War of the Spider Queen begins here.,The first novel in an epic six-part series from the fertile imaginations of R.A. Salvatore and a select group of the newest, most exciting authors in the genre. Join them as they peel back the surface of the richest fantasy world ever created, to show the dark heart beneath. ,Insurrection (Book 2),The War of the Spider Queen spreads...,A hand-picked team of the most capable drow adventurers begin a perilous journey through the treacherous Underdark, all the while surrounded by the chaos of war. Their path will take them through the very heart of darkness, and the Underdark will be shaken to its core. If the powerful dark elves falter, the world below is open for Insurrection. ,Condemnation (Book 3),From the burning sands of Anauroch to the limitless labyrinth of the Underdark, an epic quest for the very essence of the Spider Queen takes one startling turn after another. Powerful forces are at work to find answers to where Lolth has gone. She may return as something greater than she was, or she may have gone from her drow children forever, leaving them to their own devices in a chilling condemnation.,The War of the Spider Queen explodes.  ,Extinction (Book 4),Halisstra Melarn has lived her life in the service of Lolth, every second knowing she would spend her endless afterlife at her godess's side. Serving the capricious whims of a chaotic demon goddess was never easy, but it promised great reward. ,Now the Spider Queen is gone, and she may never come back. What then? For one priestess, turning her back on teh goddess who abandoned her might be her only way out, her only way to escape oblivion. While Pharaun, Quenthel, Jeggred, Danifae, and Valas search for a way into the burning infinity of the Abyss itself, all the while selling each other cheap, Halisstra and Ryld discover a world where life has value and the shadows are free of assassins. But in an effort to survive, will they lose everything it means to be a dark elf? ,The simple act of asking that question could bring the entire drow race to teh brink of extinction. The War of the Spider Queen gets personal.  ,Annihilation (Book 5),The New York Times best-seller, now in paperback! ,This paperback edition of the New York Times best-selling title expands the civil,upheaval among the drow, one of the most popular races in the Forgotten,Realms setting. Best-selling author R.A. Salvatore wrote the prologue to,Annihilation and continues to consult on the series, lending his expertise as,the author who brought drow society to the forefront of the Forgotten Realms,setting.  ,Resurrection (Book 6),""Danifae Yauntyrr, former battle-captive of House Melarn, has come too far to stop now. She has regained her freedom after years of servitude, but has yet to exact her revenge. Though she has grown in both power and ambition, Danifae still needs to kill Halisstra Melarn. But how can she when she's followed by Quenthel and Pharaun into the heart of Lolth's reformed domain, a hellish world of demonic spiders bent on eating each other, and anything else stupid enough to get in their way - including the chosen vessel of Lolth herself."" ,Halisstra has come to Demonweb Pits with a very different agenda. In her hands she holds the fabled Crescent Blade, a sword she believes will grant her the power to kill the Spider Queen herself - but only if she finds Lolth before the goddess fully completes her mysterious resurrection.","Dungeons and Dragons,Forgotten Realms,Fantasy",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557385125l/11561368.jpg,,https://goodreads.com/book/show/11561368-forgotten-realms,0,4.61,0,Forgotten Realms: The War of the Spider-Queen Omnibus,121
Brian Tracy,"Leading authority on success Brian Tracy gives proven principles and step-by-step tips for raising self-esteem and improving your life.,Brian Tracy is one of the world's leading authorities on success and personal achievement, addressing more than 100,000 men and women each year in public and private seminars. In ,Maximum Achievement,, he gives you a powerful, proven system -- based on twenty-five years of research and practice -- that you can apply immediately to get better results in every area of your life.,You learn ideas, concepts, and methods used by high-achieving people in every field everywhere. You learn how to unlock your individual potential for personal greatness. You will immediately become more positive, persuasive, and powerfully focused in everything you do. Many of the more than one million graduates of the seminar program upon which this book is based have dramatically increased their income and improved their lives in every respect.,The step-by-step blueprint for success and achievement presented in these pages includes proven principles drawn from psychology, religion, philosophy, business, economics, politics, history, and metaphysics. These ideas are combined in a fast-moving, informative series of steps that will lead you to greater success than you ever imagined possible -- they can raise your self-esteem, improve personal performance, and give you complete control over every aspect of your personal and professional life.","Self Help,Self Help,Personal Development,Business,Nonfiction,Psychology,Productivity,Audiobook,Leadership,Business,Management,How To",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347953481l/115613.jpg,684803313,https://goodreads.com/book/show/115613.Maximum_Achievement,352,4.12,174,Maximum Achievement: Strategies and Skills that Will Unlock Your Hidden Powers to Succeed,4727
Rebecca    Donovan,"""No one tried to get involved with me, and I kept to myself. This was the place where everything was supposed to be safe and easy. How could Evan Mathews unravel my constant universe in just one day?"",In the affluent town of Weslyn, Connecticut, where most people worry about what to be seen in and who to be seen with, Emma Thomas would rather not be seen at all. She’s more concerned with feigning perfection while pulling down her sleeves to conceal the bruises - not wanting anyone to know how far from perfect her life truly is. Without expecting it, she finds love. It challenges her to recognize her own worth - but at the risk of revealing the terrible secret she’s desperate to hide. ,Reason to Breathe is an electrifying page turner from start to finish, a unique tale of life-changing love, unspeakable cruelty, and one girl’s fragile grasp of hope.","Romance,Young Adult,Contemporary,New Adult,Sociology,Abuse,Fiction,Young Adult,High School,Romance,Contemporary Romance,Realistic Fiction,Dark",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329013365l/11561469.jpg,,https://goodreads.com/book/show/11561469-reason-to-breathe,377,4.22,6049,Reason to Breathe,87259
J.M. Synge,"Deirdre of the Sorrows is a three-act play written by Irish playwright John Millington Synge, first performed at the Abbey Theatre by the Irish National Theatre Society in 1910. The play is based on Irish mythology, in particular the myths concerning Deirdre and Conchobar. The work was unfinished at the author's death in 1909, but was completed by William Butler Yeats and Synge's fiancée, Molly Allgood.,[from Wikipedia]","Plays,Cultural,Ireland,European Literature,Irish Literature,Drama",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328342583l/11561477.jpg,,https://goodreads.com/book/show/11561477-deirdre-of-the-sorrows,67,3.74,8,Deirdre of the Sorrows,102
Anita Canfield,,"Christianity,Lds",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328045657l/1156147.jpg,1570086524,https://goodreads.com/book/show/1156147.Sunshine_for_the_Latter_Day_Saint_Woman_s_Soul,251,3.92,2,Sunshine for the Latter-Day Saint Woman's Soul,25
Anita Canfield,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348563805l/1156153.jpg,884946630,https://goodreads.com/book/show/1156153.Self_esteem_for_the_Latter_day_Saint_woman,134,4.09,5,Self-esteem for the Latter-day Saint woman,33
Brian Tracy,"Now in paperback, ,Create Your Own Future, is a powerful book on self-empowerment that offers a wealth of ideas readers can apply immediately to take complete control of their personal and work lives. Intended for anyone who wants to make more money and get more satisfaction from life, the book offers twelve principles for success and real-world action plans that help you reach your goals. Author Brian Tracy is one of the most renowned and successful self-help authors and speakers in the world; ,Create Your Own Future, presents all his accumulated experience in making success happen for others. Now, it can make success happen for you.","Self Help,Self Help,Personal Development,Business,Productivity,Nonfiction",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1396228172l/115615.jpg,471718521,https://goodreads.com/book/show/115615.Create_Your_Own_Future,288,4.03,42,Create Your Own Future: How to Master the 12 Critical Factors of Unlimited Success,397
Angie Daniels,"Endless Enchantment by Angie Daniels released on Sep 30, 2003 is available now for purchase.","Romance,Romance,African American Romance",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1181460036l/1156167.jpg,1583144455,https://goodreads.com/book/show/1156167.Endless_Enchantment,320,4.25,8,Endless Enchantment,96
"Mary L. Kirchoff,James M. Ward,Keith Parkinson,Steve McAfee",The reader and two animal companions face deadly dangers in a test to prove their readiness for adulthood by discovering the source of a mysterious light atop a mountain.,"Fantasy,Games,Gamebooks,Science Fiction,Gamebooks,Choose Your Own Adventure,Role Playing Games,Dungeons and Dragons,Fiction,Childrens",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1290962885l/1156168.jpg,880380551,https://goodreads.com/book/show/1156168.Light_On_Quests_Mountain,157,3.48,4,Light On Quests Mountain (Endless Quest #12),75
Douglas Mawson,"Outside the bowl of chaos was brimming with drift-snow and, as I lay in the sleeping-bag beside my dead companion, I wondered how I would manage to break and pitch camp single-handed."" ~ Douglas Mawson,The Home of the Blizzard, is a tale of discovery and adventure in the Antarctic - of pioneering deeds, great courage, heart-stopping rescues and heroic perseverance. This classic book is also a detailed account of the Australasian Antarctic Expedition's daily subsistence on the icy continent, its scientific endeavours, and Douglas Mawson's epic sledge journey in 1912-13 during which his companions, Ninnis, and Mertz, both perished.,It is illustrated with over ninety original photographs depicting the wildlife, the harsh living conditions, and the spirit of the explorers.,Mawson's writings were first published, in two volumes, in 1915. An abridged popular edition was published in 1930. This facsimile edition of the abridged popular edition was first published in 1996.,Douglas Mawson was born in Yorkshire in 1882, and moved to Australia, with his family, in 1884. Throughout his life he made important contributions to many fields of science, including geology, forestry, and conservation.,Mawson is best remembered, though, as a pioneering explorer of the Antarctic region. His polar feats so excited public imagination that thousands of admirers once carried him down the main street of Adelaide.,He was knighted for his achievements in 1914, and his death, in 1958, was marked by a state funeral.","Nonfiction,History,Adventure,Adventure,Survival,Travel,Autobiography,Memoir,Biography,Historical,Biography,Autobiography,Science",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1181460115l/1156181._SY475_.jpg,1602391440,https://goodreads.com/book/show/1156181.The_Home_Of_The_Blizzard,484,4.1,44,The Home Of The Blizzard: A True Story Of Antarctic Survival,410
"Naphtali Lewis,Meyer Reinhold","Naphtali Lewis and Meyer Reinhold's ,Roman Civilization, is a classic. Originally published by Columbia University Press in 1955, the authors have undertaken another revision which takes into account recent work in the field. These volumes consist of selected primary documents from ancient Rome, covering a range f over 1,000 years of Roman culture, from the foundation of the city to its sacking by the Goths.,The selections cover a broad spectrum of Roman civilization, including literature, philosophy, religion, education, politics, military affairs, and economics. These English translations of literary, inscriptional, and papyrological sources, many of which are available nowhere else, create a mosaic of the brilliance, the beauty, and the power of Rome.","History,Humanities,Classical Studies,Nonfiction,Reference,Roman,History,Ancient History,Textbooks,Academic,School,Classics",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388294947l/1156188.jpg,231071337,https://goodreads.com/book/show/1156188.Roman_Civilization,674,3.84,7,Roman Civilization: Sourcebook 2: Roman Empire,88
Michael Quinlan,"This is the story of how four girls in Indiana went to a rock concert, drove around and then lured a 12-year-old girl into their car, torturing and eventually burning her to death. It explores the motives behind the killing, revealing how the girls wanted to be popular and loved - at any cost.","Crime,True Crime,Nonfiction,Mystery,Crime",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1181460209l/1156191.jpg,671884689,https://goodreads.com/book/show/1156191.Little_Lost_Angel,306,4.16,45,Little Lost Angel,462
"Deborah Hughes-Hallett,Andrew M. Gleason,Daniel E. Flath",The third edition of Calculus reflects the strong consensus within the mathematics community for a new balance between the contemporary ideas of the original editions of this book and ideas and topics from earlier calculus books.,"Textbooks,Science,Mathematics,Nonfiction",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1181460237l/1156193._SX318_.jpg,471408271,https://goodreads.com/book/show/1156193.Calculus_Single_and_Multivariable,0,3.26,4,"Calculus, Single and Multivariable",53
Sander L. Gilman,"The fat man—a cultural icon, a social enigma, a pressing medical issue—is the subject of this remarkably rich book. The figures that Sander L. Gilman considers, from the ugly fat man with the beautiful sylph trapped inside to the smart fat boy to the aging body desirous of rejuvenation, appear and reappear in different guises throughout Western culture. And as is often true, such marginal cases help define the shifting center of our dreams and beliefs. An exploration into the world of male body fantasies, Gilman’s book examines how the representation of the fat man alters with time and alters how men relate to their own bodies and the bodies of others, both male and female. His examples—ranging from Santa Claus to Sancho Panza, from Falstaff to Babe Ruth, from Nero Wolfe to Al Roker—illustrate the complexity perennially associated with fat men. From discourses about normality to the playing fields of baseball, from Greek male beauty to the fat detective, Gilman’s book examines and illuminates how cultures have imagined and portrayed the fat boy.","Fat,Fat Studies",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328821843l/1156194.jpg,803221835,https://goodreads.com/book/show/1156194.Fat_Boys,310,3.7,1,Fat Boys: A Slim Book,10
Brian Tracy,"""In business and in life, things seldom go exactly as planned. You've probably figured out how to navigate around the little bumps, but what about full-blown crises, the kind with the potential to derail a company or send your personal life spinning out of control?,Crunch Point presents a series of proven, practical techniques for overcoming any setback that may come your way -- on the job, at home, or anywhere in your life. In an accessible, no-time-to-lose format, success expert Brian Tracy gives you the motivation, techniques, and confidence to grab tough and urgent problems by the horns and solve them -- quickly, decisively, and completely.,Crunch Point reveals Tracy's 21 proven ways to:,* Take control of the situation,* Stay calm and rational -- even in a crisis,* Communicate clearly, constantly, and authoritatively with the key people around you -- the skill that can make all the difference between failure and success,* Identify and remove all obstacles to resolving the problem,* Deal with problems more effectively by handling them systematically instead of randomly or emotionally, as most people do,* Develop unshakeable courage and super-high self-confidence,* Generate cash flow when the crisis is financial in nature,* Never lose focus on your customers, no matter how dire the situation may seem,* Cut your losses, when necessary, and save time and money in the long run,Each chapter offers a selection of problem-solving strategies, complete with powerful action steps you can take regardless of the nature or size of the problem.,It's inevitable: At some point, the you-know-what is sure to hit the fan. Dealing with a crisis may never be easy or pleasant, but with the universal problem-solving techniques presented in Crunch Point, you'll have the confidence and skills to rise above whatever comes your way -- and you'll be the one everyone calls """"great under pressure.""""""","Self Help,Business,Nonfiction,Self Help,Personal Development,Business,Management",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348045240l/115619.jpg,814473717,https://goodreads.com/book/show/115619.Crunch_Point,117,3.77,27,Crunch Point: The 21 Secrets to Succeeding When It Matters Most,188
Harvey Jackins,,Nonfiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1420345582l/1156200.jpg,091121402X,https://goodreads.com/book/show/1156200.Fundamentals_of_Co_Counseling_Manual_Elementary_Counselors_Manual_For_Beginning_Classes_in_Re_Evaluation_Counseling,54,3.82,2,Fundamentals of Co-Counseling Manual (Elementary Counselors Manual) For Beginning Classes in Re-Evaluation Counseling,17
Ira Greenberg,"If you're interested in creating cutting-edge code-based art and animations, you've come to the right place! Processing (available at ,www.processing.org,) is a revolutionary open source programming language and environment designed to bridge the gap between programming and art, allowing non-programmers to learn programming fundamentals as easily as possible, and empowering anyone to produce beautiful creations using math patterns. With the software freely available, Processing provides an accessible alternative to using Flash for creative coding and computational art--both on and off the Web.,This book is written especially for artists, designers, and other creative professionals and students exploring code art, graphics programming, and computational aesthetics. The book provides a solid and comprehensive foundation in programming, including object-oriented principles, and introduces you to the easy-to-grasp Processing language, so no previous coding experience is necessary. The book then goes through using Processing to code lines, curves, shapes, and motion, continuing to the point where you'll have mastered Processing and can really start to unleash your creativity with realistic physics, interactivity, and 3D! In the final chapter, you'll even learn how to extend your Processing skills by working directly with the powerful Java programming languagethe language Processing itself is built with.","Computer Science,Programming,Art,Art,Art Design,Design,Science,Technology",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348469611l/1156210.jpg,159059617X,https://goodreads.com/book/show/1156210.Processing,810,3.71,2,Processing: Creative Coding and Computational Art,55
"Brian Tracy,Ron Arden","As one of the world's premier business consultants and personal success experts, Brian Tracy has devoted his life to helping others achieve things they never dreamed possible. Now, in his latest book, he gives readers the key they need to open any door...and get whatever they want, every time.,The Power of Charm, gives readers proven ways to become more captivating -- and persuasive -- in any situation. With his trademark directness, Tracy shows readers what charm can do, and how they can use simple methods to immediately become more charming and dramatically improve their social lives and business relationships. Readers will learn how to:,* capture people's trust and attention within the first few seconds of meeting,* win the support of others who can help them achieve their goals,* master body language and advanced listening techniques,* sell more of their products or services,* deliver powerful and engaging talks and presentations,* improve their negotiation skills,* get paid more and promoted faster,With ,The Power of Charm,, readers will develop greater confidence and self-esteem and learn how to naturally create rhythm and harmony with others. It's a unique and powerful guide filled with proven techniques for making dreams come true -- in business and in life!","Nonfiction,Self Help,Business,Psychology,Self Help,Personal Development,Language,Communication,Leadership",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348021845l/115624.jpg,814473571,https://goodreads.com/book/show/115624.The_Power_of_Charm,144,3.69,99,The Power of Charm: How to Win Anyone Over in Any Situation,1001
Brian Tracy,"Double and triple your sales—in any market.,The purpose of this book is to give you a series of ideas, methods, strategies, and techniques that you can use immediately to make more sales, faster and easier than ever before., It’s a promise of prosperity that sales guru Brian Tracy has seen fulfilled again and again. More sales people have become millionaires as a result of listening to and applying his ideas than from any other sales training process ever developed.","Business,Psychology,Nonfiction,Self Help,Audiobook,Self Help,Personal Development,Buisness,Language,Communication,Currency,Money,Economics,Finance",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380857715l/115625.jpg,785288066,https://goodreads.com/book/show/115625.The_Psychology_of_Selling,240,4.17,269,The Psychology of Selling: Increase Your Sales Faster and Easier Than You Ever Thought Possible,5480
"Susan A. Miller,James Riding In","No matter what you know about Lewis and Clark, the Hopi Snake Dance, the occupation of Wounded Knee village, or the Seminole Freedmen claim, you have never before seen those and myriad other historic episodes from these perspectives. In this first-of-its-kind anthology, American Indian scholars examine crucial events in their own nations’ histories. On the one hand, these writers represent diverse tribal perspectives. On the other, they share a unifying point of view grounded in ancestral wisdom: the Cosmos is a live being, Earth is our Mother, the North American tribes are engaged in national liberation struggles, and Indigenous realities are as viable as any other. Fanciful? Read this book and see whether you still think so.",History,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344674051l/11562638.jpg,896727327,https://goodreads.com/book/show/11562638-native-historians-write-back,384,3.63,1,Native Historians Write Back: Decolonizing American Indian History,8
